RowCount,Singer,Language,Song,Word
1,Selena Gomez,English,Dance Again,I'm
1,Selena Gomez,English,Dance Again,Feeling
1,Selena Gomez,English,Dance Again,Mmm
1,Selena Gomez,English,Dance Again,Ooh
1,Selena Gomez,English,Dance Again,Ah
1,Selena Gomez,English,Dance Again,Mmm
1,Selena Gomez,English,Dance Again,Me
1,Selena Gomez,English,Dance Again,Again
1,Selena Gomez,English,Dance Again,I
1,Selena Gomez,English,Dance Again,Kick-start
1,Selena Gomez,English,Dance Again,The
1,Selena Gomez,English,Dance Again,Rhythm
1,Selena Gomez,English,Dance Again,Ooh
1,Selena Gomez,English,Dance Again,Ah
1,Selena Gomez,English,Dance Again,All
1,Selena Gomez,English,Dance Again,The
1,Selena Gomez,English,Dance Again,Trauma's
1,Selena Gomez,English,Dance Again,In
1,Selena Gomez,English,Dance Again,Remission
1,Selena Gomez,English,Dance Again,Ooh
1,Selena Gomez,English,Dance Again,I'm
1,Selena Gomez,English,Dance Again,Feeling
1,Selena Gomez,English,Dance Again,Mmm
1,Selena Gomez,English,Dance Again,Ooh
1,Selena Gomez,English,Dance Again,Ah
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Good
1,Selena Gomez,English,Look At Her Now,They
1,Selena Gomez,English,Look At Her Now,Fell
1,Selena Gomez,English,Look At Her Now,In
1,Selena Gomez,English,Look At Her Now,Love
1,Selena Gomez,English,Look At Her Now,One
1,Selena Gomez,English,Look At Her Now,Summer
1,Selena Gomez,English,Look At Her Now,A
1,Selena Gomez,English,Look At Her Now,Little
1,Selena Gomez,English,Look At Her Now,Too
1,Selena Gomez,English,Look At Her Now,Wild
1,Selena Gomez,English,Look At Her Now,For
1,Selena Gomez,English,Look At Her Now,Each
